"filename", "language", "Markdown", "Go", "XML", "YAML", "comment", "blank", "total"
"/Users/afamily/Ibraheem/dev/opensource/poller/pkg/authentication/.github/workflows/test.yaml", "YAML", 0, 0, 0, 24, 0, 5, 29
"/Users/afamily/Ibraheem/dev/opensource/poller/pkg/authentication/CHANGELOG.md", "Markdown", 222, 0, 0, 0, 0, 95, 317
"/Users/afamily/Ibraheem/dev/opensource/poller/pkg/authentication/README.md", "Markdown", 708, 0, 0, 0, 2, 209, 919
"/Users/afamily/Ibraheem/dev/opensource/poller/pkg/authentication/auth/auth.go", "Go", 0, 93, 0, 0, 9, 26, 128
"/Users/afamily/Ibraheem/dev/opensource/poller/pkg/authentication/auth/auth_test.go", "Go", 0, 296, 0, 0, 2, 72, 370
"/Users/afamily/Ibraheem/dev/opensource/poller/pkg/authentication/authboss.go", "Go", 0, 135, 0, 0, 59, 32, 226
"/Users/afamily/Ibraheem/dev/opensource/poller/pkg/authentication/authboss_test.go", "Go", 0, 217, 0, 0, 0, 42, 259
"/Users/afamily/Ibraheem/dev/opensource/poller/pkg/authentication/circle.yml", "YAML", 0, 0, 0, 16, 0, 1, 17
"/Users/afamily/Ibraheem/dev/opensource/poller/pkg/authentication/client_state.go", "Go", 0, 246, 0, 0, 91, 56, 393
"/Users/afamily/Ibraheem/dev/opensource/poller/pkg/authentication/client_state_test.go", "Go", 0, 164, 0, 0, 1, 51, 216
"/Users/afamily/Ibraheem/dev/opensource/poller/pkg/authentication/config.go", "Go", 0, 90, 0, 0, 144, 43, 277
"/Users/afamily/Ibraheem/dev/opensource/poller/pkg/authentication/confirm/confirm.go", "Go", 0, 232, 0, 0, 31, 56, 319
"/Users/afamily/Ibraheem/dev/opensource/poller/pkg/authentication/confirm/confirm_test.go", "Go", 0, 333, 0, 0, 3, 94, 430
"/Users/afamily/Ibraheem/dev/opensource/poller/pkg/authentication/context.go", "Go", 0, 106, 0, 0, 28, 29, 163
"/Users/afamily/Ibraheem/dev/opensource/poller/pkg/authentication/context_test.go", "Go", 0, 188, 0, 0, 1, 62, 251
"/Users/afamily/Ibraheem/dev/opensource/poller/pkg/authentication/defaults/defaults.go", "Go", 0, 15, 0, 0, 10, 5, 30
"/Users/afamily/Ibraheem/dev/opensource/poller/pkg/authentication/defaults/defaults_test.go", "Go", 0, 34, 0, 0, 0, 6, 40
"/Users/afamily/Ibraheem/dev/opensource/poller/pkg/authentication/defaults/error_handler.go", "Go", 0, 29, 0, 0, 8, 9, 46
"/Users/afamily/Ibraheem/dev/opensource/poller/pkg/authentication/defaults/error_handler_test.go", "Go", 0, 22, 0, 0, 1, 9, 32
"/Users/afamily/Ibraheem/dev/opensource/poller/pkg/authentication/defaults/log_mailer.go", "Go", 0, 30, 0, 0, 4, 10, 44
"/Users/afamily/Ibraheem/dev/opensource/poller/pkg/authentication/defaults/log_mailer_test.go", "Go", 0, 53, 0, 0, 0, 14, 67
"/Users/afamily/Ibraheem/dev/opensource/poller/pkg/authentication/defaults/logger.go", "Go", 0, 18, 0, 0, 6, 6, 30
"/Users/afamily/Ibraheem/dev/opensource/poller/pkg/authentication/defaults/logger_test.go", "Go", 0, 18, 0, 0, 0, 6, 24
"/Users/afamily/Ibraheem/dev/opensource/poller/pkg/authentication/defaults/renderer.go", "Go", 0, 40, 0, 0, 6, 13, 59
"/Users/afamily/Ibraheem/dev/opensource/poller/pkg/authentication/defaults/renderer_test.go", "Go", 0, 34, 0, 0, 0, 9, 43
"/Users/afamily/Ibraheem/dev/opensource/poller/pkg/authentication/defaults/responder.go", "Go", 0, 101, 0, 0, 13, 26, 140
"/Users/afamily/Ibraheem/dev/opensource/poller/pkg/authentication/defaults/responder_test.go", "Go", 0, 199, 0, 0, 0, 54, 253
